Time (s),Trace #1 (pA),Trace #1 (mmHg)
18.6726,7.47681,1.06812
18.6727,9.76563,1.06812
18.6728,9.15527,1.06812
18.6729,9.46045,1.06812
18.673,6.86646,1.06812
18.6731,9.61304,0.915527
18.6732,7.32422,0.915527
18.6733,7.32422,1.06812
18.6734,9.46045,1.06812
18.6735,8.08716,1.06812
18.6736,5.0354,1.06812
18.6737,9.00269,1.06812
18.6738,5.79834,0.915527
18.6739,7.32422,0.915527
18.674,7.17163,0.915527
18.6741,9.91821,0.915527
18.6742,8.23975,0.915527
18.6743,6.56128,0.915527
18.6744,7.78198,0.915527
18.6745,8.08716,0.915527
18.6746,7.78198,0.915527
18.6747,7.93457,0.915527
18.6748,7.47681,0.915527
18.6749,9.46045,0.915527
18.675,8.39233,1.06812
18.6751,6.40869,1.06812
18.6752,8.39233,1.06812
18.6753,8.54492,1.06812
18.6754,5.64575,0.915527
18.6755,9.30786,0.915527
18.6756,8.08716,0.915527
18.6757,9.61304,0.915527
18.6758,6.71387,1.06812
18.6759,9.61304,1.06812
18.676,7.78198,1.06812
18.6761,8.08716,0.915527
18.6762,8.69751,0.915527
18.6763,7.78198,0.915527
18.6764,7.78198,0.915527
18.6765,9.00269,0.915527
18.6766,8.54492,0.915527
18.6767,7.62939,0.915527
18.6768,7.17163,1.06812
18.6769,7.01904,1.06812
18.677,6.71387,0.915527
18.6771,7.62939,0.915527
18.6772,10.5286,0.915527
18.6773,7.62939,0.915527
18.6774,10.376,0.915527
18.6775,6.40869,0.915527
18.6776,10.5286,0.915527
18.6777,8.08716,1.06812
18.6778,5.0354,1.06812
18.6779,10.0708,1.2207
18.678,5.64575,1.2207
18.6781,8.23975,1.06812
18.6782,7.62939,0.915527
18.6783,7.47681,0.915527
18.6784,6.40869,0.915527
18.6785,7.47681,0.915527
18.6786,6.2561,0.915527
18.6787,8.8501,0.915527
18.6788,8.39233,0.915527
18.6789,6.2561,0.915527
18.679,7.32422,1.06812
18.6791,6.56128,0.915527
18.6792,8.8501,0.915527
18.6793,7.62939,0.915527
18.6794,7.01904,1.06812
18.6795,8.69751,1.06812
18.6796,7.93457,0.915527
18.6797,7.01904,0.915527
18.6798,9.91821,0.915527
18.6799,8.23975,0.915527
18.68,7.93457,0.915527
18.6801,6.2561,0.915527
18.6802,7.93457,1.06812
18.6803,7.62939,0.915527
18.6804,9.00269,0.915527
18.6805,7.01904,0.915527
18.6806,10.2234,0.915527
18.6807,7.47681,0.915527
18.6808,7.01904,0.915527
18.6809,8.08716,1.06812
18.681,8.39233,0.915527
18.6811,6.71387,0.915527
18.6812,7.01904,0.915527
18.6813,8.54492,0.915527
18.6814,9.30786,0.915527
18.6815,7.93457,0.915527
18.6816,9.91821,0.915527
18.6817,6.56128,0.915527
18.6818,5.79834,0.915527
18.6819,6.2561,0.915527
18.682,9.91821,0.915527
18.6821,7.62939,0.915527
18.6822,9.61304,0.915527
18.6823,6.2561,0.915527
18.6824,7.47681,0.915527
18.6825,6.86646,0.915527
18.6826,9.15527,0.915527
18.6827,7.47681,0.915527
18.6828,6.86646,0.915527
18.6829,9.61304,0.915527
18.683,6.71387,0.915527
18.6831,8.8501,0.915527
18.6832,7.93457,0.915527
18.6833,7.47681,0.915527
18.6834,8.8501,0.915527
18.6835,7.17163,0.915527
18.6836,10.376,0.915527
18.6837,8.39233,0.915527
18.6838,7.01904,0.915527
18.6839,7.93457,0.915527
18.684,7.93457,0.915527
18.6841,6.86646,0.915527
18.6842,9.46045,0.915527
18.6843,7.47681,0.915527
18.6844,8.23975,0.915527
18.6845,9.15527,0.915527
18.6846,6.71387,1.06812
18.6847,7.78198,0.915527
18.6848,7.62939,0.915527
18.6849,8.08716,0.915527
18.685,8.23975,0.915527
18.6851,9.00269,0.915527
18.6852,7.47681,1.06812
18.6853,9.15527,1.06812
18.6854,6.10352,1.06812
18.6855,9.15527,1.06812
18.6856,7.78198,1.06812
18.6857,5.95093,0.915527
18.6858,8.39233,0.915527
18.6859,8.23975,0.915527
18.686,6.40869,0.915527
18.6861,10.9863,0.915527
18.6862,8.39233,0.915527
18.6863,7.32422,0.915527
18.6864,7.93457,0.915527
18.6865,8.23975,0.915527
18.6866,7.62939,0.915527
18.6867,7.93457,0.915527
18.6868,6.71387,0.915527
18.6869,7.78198,0.915527
18.687,8.54492,0.915527
18.6871,9.61304,0.915527
18.6872,8.23975,0.915527
18.6873,7.01904,0.762939
18.6874,9.61304,0.915527
18.6875,7.01904,0.915527
18.6876,8.23975,0.915527
18.6877,9.15527,0.915527
18.6878,8.69751,0.915527
18.6879,6.86646,0.915527
18.688,9.46045,0.915527
18.6881,6.40869,0.915527
18.6882,7.17163,0.915527
18.6883,8.54492,0.915527
18.6884,8.23975,1.06812
18.6885,6.71387,1.06812
18.6886,7.47681,1.06812
18.6887,10.0708,1.06812
18.6888,6.71387,0.915527
18.6889,6.71387,0.915527
18.689,9.00269,0.915527
18.6891,8.23975,0.915527
18.6892,9.76563,0.915527
18.6893,7.01904,0.915527
18.6894,5.95093,1.06812
18.6895,6.56128,0.915527
18.6896,8.69751,0.915527
18.6897,7.32422,0.915527
18.6898,8.23975,0.915527
18.6899,8.23975,0.915527
18.69,7.78198,0.915527
18.6901,7.32422,0.915527
18.6902,9.00269,0.915527
18.6903,6.71387,0.915527
18.6904,7.78198,0.915527
18.6905,8.08716,0.915527
18.6906,9.76563,0.915527
18.6907,10.376,0.915527
18.6908,7.62939,0.915527
18.6909,8.08716,0.915527
18.691,6.86646,0.915527
18.6911,7.78198,0.762939
18.6912,5.34058,0.915527
18.6913,6.56128,0.915527
18.6914,8.8501,0.915527
18.6915,11.1389,0.915527
18.6916,9.61304,0.915527
18.6917,9.30786,0.915527
18.6918,6.40869,0.915527
18.6919,9.46045,0.915527
18.692,6.71387,0.915527
18.6921,8.23975,0.762939
18.6922,9.61304,0.762939
18.6923,9.30786,0.762939
18.6924,9.30786,0.915527
18.6925,7.47681,0.915527
18.6926,7.01904,0.915527
18.6927,7.78198,0.915527
18.6928,7.78198,0.915527
18.6929,8.8501,0.915527
18.693,6.86646,0.915527
18.6931,7.62939,0.915527
18.6932,9.46045,0.915527
18.6933,7.78198,0.915527
18.6934,5.34058,0.915527
18.6935,7.93457,0.915527
18.6936,8.23975,0.915527
18.6937,7.78198,0.915527
18.6938,8.69751,0.915527
18.6939,8.69751,0.915527
18.694,5.18799,0.915527
18.6941,7.62939,0.915527
18.6942,10.376,0.915527
18.6943,8.69751,0.915527
18.6944,9.00269,0.915527
18.6945,8.23975,0.915527
18.6946,7.17163,0.915527
18.6947,8.54492,0.915527
18.6948,7.47681,0.915527
18.6949,7.32422,0.762939
18.695,5.49316,0.915527
18.6951,6.86646,0.762939
18.6952,7.62939,0.762939
18.6953,9.46045,0.762939
18.6954,9.00269,0.762939
18.6955,7.78198,0.762939
18.6956,8.8501,0.915527
18.6957,8.54492,0.915527
18.6958,7.01904,0.915527
18.6959,9.30786,0.915527
18.696,8.54492,0.915527
18.6961,10.6812,0.915527
18.6962,7.32422,0.915527
18.6963,9.30786,0.915527
18.6964,7.93457,0.915527
18.6965,7.17163,0.915527
18.6966,9.00269,0.915527
18.6967,7.62939,0.762939
18.6968,6.2561,0.762939
18.6969,6.86646,0.915527
18.697,9.00269,0.915527
18.6971,7.17163,0.915527
18.6972,9.30786,0.915527
18.6973,8.08716,0.915527
18.6974,8.08716,0.915527
18.6975,5.79834,0.915527
18.6976,7.01904,0.915527
18.6977,8.23975,0.915527
18.6978,8.08716,0.915527
18.6979,6.2561,0.915527
18.698,7.47681,0.915527
18.6981,7.47681,0.915527
18.6982,8.54492,0.915527
18.6983,8.8501,0.915527
18.6984,8.23975,0.915527
18.6985,8.23975,0.915527
18.6986,7.47681,0.915527
18.6987,7.47681,0.915527
18.6988,9.61304,0.915527
18.6989,8.23975,0.915527
18.699,7.62939,0.915527
18.6991,7.78198,0.915527
18.6992,7.32422,0.915527
18.6993,6.40869,0.915527
18.6994,7.17163,0.915527
18.6995,7.32422,0.915527
18.6996,7.32422,0.915527
18.6997,8.08716,0.915527
18.6998,8.08716,0.762939
18.6999,7.17163,0.762939
18.7,7.93457,0.762939
18.7001,10.6812,0.915527
18.7002,6.40869,0.915527
18.7003,9.76563,0.762939
18.7004,8.39233,0.915527
18.7005,7.47681,0.762939
18.7006,6.2561,0.762939
18.7007,8.39233,0.762939
18.7008,8.39233,0.762939
18.7009,7.78198,0.762939
18.701,9.61304,0.762939
18.7011,7.32422,0.915527
18.7012,10.6812,0.915527
18.7013,8.8501,0.915527
18.7014,6.86646,0.915527
18.7015,7.01904,0.915527
18.7016,6.71387,0.915527
18.7017,8.8501,0.762939
18.7018,7.32422,0.762939
18.7019,6.56128,0.762939
18.702,9.30786,0.762939
18.7021,9.00269,0.762939
18.7022,6.86646,0.762939
18.7023,7.62939,0.915527
18.7024,8.39233,0.915527
18.7025,7.93457,0.915527
18.7026,9.61304,0.915527
18.7027,9.00269,0.915527
18.7028,8.8501,0.915527
18.7029,6.2561,0.915527
18.703,7.78198,0.915527
18.7031,7.17163,0.915527
18.7032,5.79834,0.915527
18.7033,6.86646,0.915527
18.7034,8.08716,0.915527
18.7035,7.93457,0.915527
18.7036,7.78198,0.915527
18.7037,7.93457,0.915527
18.7038,6.71387,0.762939
18.7039,5.49316,0.762939
18.704,6.40869,0.762939
18.7041,7.93457,0.762939
18.7042,9.46045,0.762939
18.7043,7.93457,0.762939
18.7044,7.01904,0.762939
18.7045,8.08716,0.762939
18.7046,8.23975,0.762939
18.7047,10.0708,0.762939
18.7048,6.86646,0.762939
18.7049,8.08716,0.762939
18.705,9.46045,0.915527
18.7051,6.71387,0.610352
18.7052,8.8501,0.610352
18.7053,7.17163,0.915527
18.7054,5.49316,0.915527
18.7055,7.47681,0.762939
18.7056,9.46045,0.915527
18.7057,8.08716,0.915527
18.7058,8.8501,0.915527
18.7059,7.47681,0.915527
18.706,8.54492,0.762939
18.7061,8.23975,0.762939
18.7062,5.79834,0.762939
18.7063,5.34058,0.762939
18.7064,9.91821,0.762939
18.7065,9.91821,0.762939
18.7066,10.2234,0.915527
18.7067,7.47681,0.915527
18.7068,6.40869,0.915527
18.7069,9.91821,0.762939
18.707,7.62939,0.915527
18.7071,9.76563,0.915527
18.7072,9.15527,0.915527
18.7073,9.15527,0.762939
18.7074,7.93457,0.762939
18.7075,9.15527,0.762939
18.7076,7.62939,0.762939
18.7077,8.08716,0.762939
18.7078,8.54492,0.762939
18.7079,8.69751,0.915527
18.708,6.10352,0.915527
18.7081,7.01904,0.915527
18.7082,7.01904,0.915527
18.7083,7.93457,0.915527
18.7084,7.62939,0.915527
18.7085,8.69751,0.915527
18.7086,6.86646,0.915527
18.7087,8.23975,0.915527
18.7088,9.91821,0.915527
18.7089,7.62939,0.915527
18.709,8.39233,0.915527
18.7091,6.56128,0.915527
18.7092,8.8501,0.915527
18.7093,7.47681,0.915527
18.7094,7.32422,0.915527
18.7095,7.62939,0.915527
18.7096,8.08716,0.915527
18.7097,10.2234,0.762939
18.7098,7.62939,0.762939
18.7099,8.23975,0.762939
18.71,6.86646,0.915527
18.7101,6.86646,0.915527
18.7102,6.2561,0.915527
18.7103,7.78198,0.915527
18.7104,10.0708,0.915527
18.7105,8.08716,0.915527
18.7106,7.78198,0.915527
18.7107,6.2561,0.915527
18.7108,7.01904,0.915527
18.7109,8.39233,0.915527
18.711,6.71387,0.915527
18.7111,9.30786,0.915527
18.7112,7.17163,0.915527
18.7113,12.0544,0.915527
18.7114,7.78198,0.915527
18.7115,7.93457,0.762939
18.7116,9.61304,0.762939
18.7117,6.86646,0.762939
18.7118,6.71387,0.762939
18.7119,7.47681,0.762939
18.712,7.47681,0.762939
18.7121,6.2561,0.762939
18.7122,8.8501,0.762939
18.7123,7.93457,0.762939
18.7124,8.69751,0.762939
18.7125,10.8337,0.915527
18.7126,5.49316,0.915527
18.7127,6.71387,0.915527
18.7128,9.15527,0.915527
18.7129,6.71387,0.915527
18.713,9.00269,0.915527
18.7131,7.93457,0.915527
18.7132,6.2561,0.915527
18.7133,8.54492,0.915527
18.7134,8.8501,0.915527
18.7135,8.69751,0.915527
18.7136,8.54492,0.915527
18.7137,7.62939,0.762939
18.7138,8.39233,0.762939
18.7139,8.23975,0.762939
18.714,7.32422,0.762939
18.7141,6.10352,0.762939
18.7142,7.32422,0.610352
18.7143,8.08716,0.915527
18.7144,7.32422,0.915527
18.7145,9.30786,0.762939
18.7146,6.40869,0.762939
18.7147,7.01904,0.762939
18.7148,7.62939,0.762939
18.7149,8.23975,0.915527
18.715,5.49316,0.915527
18.7151,8.54492,0.762939
18.7152,8.69751,0.915527
18.7153,6.86646,0.762939
18.7154,8.69751,0.762939
18.7155,7.78198,0.762939
18.7156,9.61304,0.762939
18.7157,10.6812,0.762939
18.7158,8.39233,0.762939
18.7159,7.62939,0.762939
18.716,9.46045,0.762939
18.7161,7.47681,0.762939
18.7162,5.79834,0.762939
18.7163,7.78198,0.762939
18.7164,9.15527,0.915527
18.7165,7.32422,0.915527
18.7166,6.71387,0.915527
18.7167,9.76563,0.915527
18.7168,8.69751,0.915527
18.7169,8.69751,0.762939
18.717,7.93457,0.762939
18.7171,8.08716,0.610352
18.7172,6.86646,0.610352
18.7173,5.64575,0.762939
18.7174,7.93457,0.762939
18.7175,4.27246,0.762939
18.7176,7.62939,0.762939
18.7177,6.71387,0.762939
18.7178,6.10352,0.915527
18.7179,8.08716,0.915527
18.718,7.93457,0.915527
18.7181,6.86646,0.915527
18.7182,7.47681,0.915527
18.7183,5.49316,0.915527
18.7184,7.32422,0.915527
18.7185,6.71387,0.915527
18.7186,7.32422,0.762939
18.7187,9.61304,0.762939
18.7188,7.32422,0.762939
18.7189,7.93457,0.762939
18.719,6.2561,0.762939
18.7191,7.78198,0.762939
18.7192,8.23975,0.762939
18.7193,6.56128,0.762939
18.7194,7.17163,0.762939
18.7195,7.17163,0.762939
18.7196,6.86646,0.762939
18.7197,7.47681,0.762939
18.7198,8.69751,0.762939
18.7199,5.79834,0.762939
18.72,8.54492,0.762939
18.7201,5.49316,0.610352
18.7202,6.2561,0.762939
18.7203,7.62939,0.762939
18.7204,7.62939,0.762939
18.7205,7.93457,0.762939
18.7206,7.93457,0.762939
18.7207,7.17163,0.915527
18.7208,9.15527,0.915527
18.7209,7.32422,0.762939
18.721,5.95093,0.762939
18.7211,10.9863,0.762939
18.7212,7.47681,0.762939
18.7213,10.5286,0.762939
18.7214,8.39233,0.762939
18.7215,8.23975,0.762939
18.7216,8.69751,0.762939
18.7217,4.57764,0.762939
18.7218,9.15527,0.915527
18.7219,7.93457,0.762939
18.722,7.32422,0.762939
18.7221,7.32422,0.762939
18.7222,9.76563,0.762939
18.7223,9.30786,0.762939
18.7224,7.62939,0.762939
18.7225,6.86646,0.762939
18.7226,7.47681,0.762939
18.7227,8.08716,0.762939
18.7228,6.10352,0.762939
18.7229,7.01904,0.762939
18.723,6.40869,0.762939
18.7231,8.39233,0.762939
18.7232,8.8501,0.762939
18.7233,7.78198,0.762939
18.7234,8.39233,0.762939
18.7235,9.00269,0.762939
18.7236,6.40869,0.762939
18.7237,7.17163,0.762939
18.7238,7.01904,0.762939
18.7239,5.64575,0.915527
18.724,9.91821,0.915527
18.7241,7.17163,0.915527
18.7242,7.62939,0.762939
18.7243,6.10352,0.762939
18.7244,7.17163,0.762939
18.7245,9.46045,0.762939
18.7246,7.17163,0.762939
18.7247,7.62939,0.762939
18.7248,6.71387,0.762939
18.7249,9.91821,0.762939
18.725,9.46045,0.762939
18.7251,7.32422,0.762939
18.7252,6.10352,0.762939
18.7253,8.08716,0.762939
18.7254,8.69751,0.762939
18.7255,9.30786,0.915527
18.7256,8.39233,0.762939
18.7257,8.08716,0.762939
18.7258,8.39233,0.762939
18.7259,10.6812,0.762939
18.726,7.47681,0.762939
18.7261,6.56128,0.762939
18.7262,6.56128,0.762939
18.7263,7.32422,0.762939
18.7264,8.08716,0.762939
18.7265,7.62939,0.762939
18.7266,7.62939,0.762939
18.7267,7.32422,0.915527
18.7268,7.93457,0.762939
18.7269,8.54492,0.762939
18.727,7.78198,0.762939
18.7271,7.93457,0.762939
18.7272,7.47681,0.762939
18.7273,5.18799,0.762939
18.7274,7.01904,0.762939
18.7275,9.91821,0.762939
18.7276,9.30786,0.762939
18.7277,6.2561,0.762939
18.7278,6.71387,0.762939
18.7279,8.69751,0.762939
18.728,7.78198,0.762939
18.7281,7.62939,0.762939
18.7282,7.17163,0.762939
18.7283,8.8501,0.762939
18.7284,9.76563,0.762939
18.7285,8.23975,0.762939
18.7286,9.46045,0.762939
18.7287,8.08716,0.762939
18.7288,7.93457,0.762939
18.7289,6.40869,0.762939
